"","State","TotalPopulation","male0to9","male10to19","male20to29","male30to39","male40to49","male50to59","male60to69","male70to79","male80andUp","female0to9","female10to19","female20to29","female30to39","female40to49","female50to59","female60to69","female70to79","female80andUp","Agg_Income","TenToThirtyK","ThirtyToFiftyK","FiftyToHundredK","HundredToHundredFiftyK","HundredFiftyPlus","Population (2010 Est.)","Population % of USA","Internet users June, 2010","Internet Penetration","Facebook users August, 2010","Facebook Penetration","NoConnectionAnywhere","NoHomeConnection_ConnectElseWhere","ConnectAtHomeOnly","InternetUsageAtHome","InternetUsageAtWork","InternetUsageAtCoffeeShops","InternetUsage","PerCapitaIncome","Avg_InternetUsage","Avg_InternetUsageAtWork","Avg_InternetUsageAtHome","Avg_InternetUsageAtCoffeeShops","InternetUsageLevel","InternetUsageAtHomeLevel","InternetUsageAtWorkLevel","InternetUsageAtCoffeeShopsLevel","YoungProportion","MiddleProportion","OldProportion","YoungCategories"
"1","Alabama",4830620,307240,326856,329361,291703,312106,323857,253383,134380,62207,293528,315601,333475,308984,323744,347542,285132,171878,109643,80151201700,659284,364135,520899,191823,112184,4758191,0.015,3092273,0.65,1599260,0.336,33.5,9.3,26.4,2900742,1093755,519285,3211766,16592.3218344643,0.664876558288584,0.226421246134037,0.600490620251645,0.107498623365117,"Low","Low","Low","Low",0.394578956738472,0.394967105671736,0.210453937589792,"Medium"
"2","Alaska",733375,54622,53404,67405,52449,48193,53923,35556,13711,4897,51670,48073,54435,47274,44752,50701,31869,13163,7278,17182193800,45192,39041,83286,47373,36077,705813,0.002,593193,0.84,336440,0.477,23,8.7,26.2,488752,216665,117351,532692,23428.9330833475,0.726356911539117,0.295435486620078,0.666442133969661,0.160014999147776,"Medium","Medium","Medium","Medium",0.449441281745355,0.405375149139253,0.145183569115391,"High"
"3","Arizona",6641928,452760,467823,479213,430472,419421,403000,334177,209348,102874,436709,445015,446577,417428,416702,428095,374720,233793,143801,117145401300,710877,488856,732149,288720,191610,6665093,0.021,5230474,0.785,2448140,0.367,31.6,4.9,28.1,4087342,1539156,809265,4472459,17637.2585339678,0.673367582424862,0.231733315988972,0.61538487017625,0.121841880851464,"Low","Low","Low","Low",0.410738719239353,0.378672879320583,0.210588401440064,"High"
"4","Arkansas",2958208,201859,201891,200850,186644,185119,191093,154203,89010,41244,191137,193675,198818,186252,189253,203629,166912,106057,70562,46393023500,418826,242882,314542,103575,58200,2919815,0.009,1949869,0.668,989820,0.339,38.7,6.6,26.3,1781504,697404,349596,2021555,15682.8132098892,0.683371487062438,0.235752185106659,0.602224049154082,0.118178302539916,"Low","Low","Low","Low",0.401672228592445,0.386041143827615,0.21228662757994,"Medium"
"5","California",38421464,2578793,2667023,2983529,2687638,2615030,2467144,1710688,878397,498893,2468214,2543408,2788712,2620338,2613435,2554085,1894847,1060183,791107,830734721500,3155962,2101974,3660896,1902528,1896441,37350092,0.12,29758896,0.797,16673720,0.446,32,5.6,24.8,24783503,9794181,6348153,27326103,21621.6311148373,0.711219723433756,0.254914310396918,0.645043171702151,0.165224130970126,"Medium","Medium","Medium","High",0.417206356322081,0.404921322102666,0.177872321575253,"High"
"6","Colorado",5278906,353048,355721,400427,384010,359152,354260,261909,121394,58746,337153,337297,368388,363942,346635,367294,275454,139561,94515,125274982300,474471,365832,638765,302241,243159,5077553,0.016,4058749,0.799,2369420,0.467,21.9,5.4,25.6,3494762,1627314,1132355,3846567,23731.2394462034,0.728667454961312,0.308267281137417,0.662023911772629,0.214505619156696,"Medium","Medium","High","High",0.40766666426718,0.412072690818893,0.180260644913927,"High"
"7","Connecticut",3593222,207690,248451,235407,209647,248536,265314,184879,94081,57602,198738,237910,222530,215104,263150,279427,205391,117032,102333,103006350500,294729,199248,393148,224821,240637,3555261,0.011,3074229,0.865,1398220,0.393,23.5,3.5,29.6,2517363,1077159,497340,2673669,28666.8484440984,0.744086783393845,0.299775243500123,0.700586548785463,0.138410596395102,"Medium","High","High","Medium",0.375909420570174,0.412214441523513,0.211876137906314,"Low"
"8","Delaware",926454,56606,60165,63697,55100,58256,61492,50692,28600,13805,56165,57437,63345,58169,61443,69429,56724,33591,21738,20150380500,80014,61995,112412,51636,37965,605959,0.002,463503,0.765,1576360,2.601,29.4,5.5,31.1,640837,281113,124544,702490,21750.0064763064,0.758256751009764,0.303428988379348,0.691709464258344,0.134430851396831,"High","Medium","High","Low",0.38578817728673,0.392776111927845,0.221435710785425,"Low"
"9","District of Columbia",647484,35584,30835,62598,56464,40437,36841,24012,13292,6611,35366,32318,74039,60475,39069,37995,31267,17362,12919,23484050200,68549,35674,67572,42014,59581,894424,0.003,719500,0.804,216140,0.242,28.2,7.8,19.2,436409,265099,187106,486783,36269.6996373656,0.75180699445855,0.409429422194216,0.674007388599564,0.288973936035485,"High","Medium","High","High",0.418141606587962,0.418977148470078,0.16288124494196,"High"
"10","Florida",19645772,1119533,1193040,1308087,1182189,1282450,1313988,1083795,712805,404122,1072276,1134893,1257582,1187723,1316715,1408831,1240569,831795,595379,338522538100,2286860,1515442,2133961,788595,575636,18732783,0.06,14764418,0.788,7839520,0.418,28.2,5.7,29.8,12518179,4841290,2418876,13541761,17231.3176646863,0.68929645523729,0.246429104440385,0.637194557689054,0.123124507400371,"Low","Medium","Low","Low",0.360658313656496,0.391529332621798,0.247812353721707,"Low"
"11","Georgia",10006693,701126,718668,712178,658280,691679,633158,453211,223242,91789,666397,697302,696817,693376,722457,685015,511990,279921,170087,188725664500,1102573,695252,1049692,418631,308214,9932505,0.032,7597608,0.765,4841900,0.487,30.1,6.5,26.4,6326303,2545827,1499364,7166870,18859.9434898223,0.716207642225059,0.254412421766112,0.632207163745305,0.149836114688439,"Medium","Low","Low","Medium",0.418968384460281,0.408123343046499,0.17290827249322,"High"
"12","Hawaii",1406299,90783,84194,116395,95688,90067,92440,77266,38200,24838,84815,80546,94247,89494,87538,94287,80405,44251,40845,28301016700,89986,68900,147470,81639,62577,1308789,0.004,1081506,0.826,597100,0.456,34.3,5.1,26.1,868849,349936,201049,941924,20124.4662052664,0.669789283786734,0.248834707270644,0.617826649951397,0.142963196304627,"Low","Low","Low","Medium",0.391794348143602,0.390751895578394,0.217453756278003,"Medium"
"13","Idaho",1616547,121462,121251,111995,105464,97505,101031,85779,44647,21330,115715,115679,105772,99892,98141,104852,85764,48902,31366,25706078500,178474,129398,187263,61284,32901,1562046,0.005,1284500,0.822,518060,0.332,26.9,5.2,34.9,1190197,477757,294297,1276770,15901.8441777443,0.789813101629585,0.295541669991655,0.736258828230791,0.182052857108392,"High","High","Medium","High",0.427994979422188,0.37542057236814,0.196584448209672,"High"
"14","Illinois",12873761,835416,888533,904078,861681,859002,868987,614145,313638,171419,805138,847748,883089,864728,868689,913262,673539,395648,305021,293891724200,1257789,839815,1461152,676505,551127,13046084,0.042,10243294,0.785,7152340,0.548,29.9,5.5,25.9,9244886,3910506,2420079,9946149,22828.7385636567,0.772590775920106,0.30375785289163,0.718118504763293,0.187985391370867,"High","High","High","High",0.40112613555588,0.406745860824976,0.192128003619144,"Medium"
"15","Indiana",6568645,442598,467279,452009,413635,428560,449274,326748,168160,87000,420206,446011,443177,410796,431686,466518,353609,205628,155751,122025634600,742600,524820,796266,285486,152765,6490613,0.021,4770355,0.735,2225460,0.343,31.6,6.8,26.5,4464434,1818398,986042,4823503,18576.9872781982,0.734322375467086,0.276830000707909,0.679658285689058,0.150113455667036,"Medium","Medium","Medium","Medium",0.406671391131657,0.395891237842812,0.197437371025531,"Medium"
"16","Iowa",3093526,204679,214745,213733,191904,191838,213288,163655,88281,52472,196728,202953,203076,186880,186872,216184,169123,105094,92021,61635461800,334974,244424,416768,154870,85373,3039465,0.01,2354728,0.775,922240,0.303,27.3,6.4,27.6,2145533,1011861,542700,2355765,19924.0160903771,0.761514530668241,0.327089864445943,0.693555832406128,0.175430883722975,"High","Medium","High","High",0.399516280128242,0.383693558741708,0.21679016113005,"Medium"
"17","Kansas",2892987,206577,206407,213287,185783,176880,194259,139475,73401,43793,196646,197759,195837,179497,173847,197349,149493,88646,74051,58084291900,306856,223813,355437,141456,85910,2848369,0.009,2248721,0.789,1312240,0.461,25,5.6,27.5,1816204,776228,359438,2008155,20077.619394764,0.694145877599865,0.268313684091909,0.627795423899243,0.124244595637658,"Low","Low","Medium","Low",0.420504136382224,0.382862073006204,0.196633790611572,"High"
"18","Kentucky",4397353,285594,295586,299550,279943,294241,303896,230340,119695,55363,273421,278272,290380,279075,296173,319356,252130,146440,97898,73490761600,603720,343553,492468,173948,94810,4359450,0.014,2997542,0.688,1598020,0.367,34.2,5.6,25.7,2877221,1092837,613698,3137068,16712.4999061936,0.713399174457907,0.248521553762002,0.65430748907354,0.139560776676332,"Medium","Medium","Low","Medium",0.391781828750159,0.403125243754595,0.205092927495245,"Medium"
"19","Louisiana",4625253,316835,314544,341942,302276,284623,306744,227669,113210,53313,306644,299631,341916,303237,297129,328420,246222,144524,96374,82954742200,611136,321770,469003,197776,128234,4539283,0.015,3071973,0.677,1643860,0.362,33.7,6.7,26.2,2856711,1214838,511369,3195719,17935.1793728905,0.690928474615335,0.262653307829864,0.617633457023864,0.110560222327298,"Low","Low","Medium","Low",0.415439328399982,0.394017148899747,0.190543522700272,"High"
"20","Maine",1329100,71364,80904,78199,72826,89233,105247,84666,44497,23145,67259,77548,77087,75383,92073,110858,89518,50979,38314,24923323300,170044,109765,175523,62321,35631,1332155,0.004,1102933,0.828,536480,0.403,26.6,4.6,29.9,941002,400175,229814,1001767,18752.0301707923,0.753718305620345,0.301087201865924,0.707999398088932,0.172909487623204,"High","High","High","High",0.340351365585735,0.410518395907005,0.249130238507261,"Low"
"21","Maryland",5930538,377398,391995,410982,376164,403770,411363,285032,140869,75070,362139,378168,403896,397946,431028,446186,330717,177278,130537,166203342000,406828,311808,659726,394212,393815,5759373,0.019,4737650,0.823,2363480,0.41,25.9,4.7,25.1,4269638,1919518,956734,4573238,28025.002453403,0.771133748742526,0.323666756709088,0.719941091347868,0.161323306587025,"High","High","High","Medium",0.39196747411449,0.415890936033122,0.192141589852388,"Medium"
"22","Massachusetts",6705586,379024,439001,478922,412513,455740,475211,336110,171573,101556,365118,424417,481419,424422,481203,501915,375550,215718,186174,186384986400,598422,367560,720528,429874,433337,6662878,0.021,5745853,0.862,3148580,0.473,25.6,4,29.2,4662113,2104018,1102270,4963856,27795.4807230867,0.740256854509062,0.313770936648937,0.695258102722119,0.164380860971733,"Medium","High","High","Medium",0.382949528944972,0.410255569013655,0.206794902041373,"Low"
"23","Michigan",9900571,611502,684688,667125,576705,652068,715644,534231,274231,145779,578304,657228,650678,584829,664020,747679,576270,328007,251583,185402377500,1166392,767756,1166015,453851,287134,10074498,0.032,7899843,0.784,3921020,0.389,26.7,4.5,30,6550592,2391861,1732779,7096928,18726.4327986739,0.716820070276755,0.241588187186375,0.661637798466371,0.175018087340619,"Medium","Medium","Low","High",0.38881848329758,0.398052294155559,0.213129222546861,"Low"
"24","Minnesota",5419171,363860,365180,368649,355987,356713,389643,272489,139515,80130,347319,350544,357091,345379,353796,393307,282573,165240,131756,131747196200,491366,371484,702486,326724,232685,5321556,0.017,4370006,0.821,2274240,0.427,20.9,4.5,27.9,3949139,1618465,976827,4307850,24311.3192405259,0.79492785889207,0.298655458556299,0.728734893215217,0.180253953971927,"High","High","High","High",0.397227361897235,0.405011209279058,0.197761428823708,"Medium"
"25","Mississippi",2988081,205565,214969,209674,183811,185682,193413,145063,78791,34755,197773,207473,206312,191713,196722,208132,164272,98611,65350,43410110900,430330,222722,296168,96081,51292,2983018,0.01,1769430,0.593,904460,0.303,41,8.7,21.8,1621877,598411,261588,1951409,14527.7557402226,0.653064291095188,0.200265990112049,0.542782140109321,0.0875438115633412,"Low","Low","Low","Low",0.415573071814318,0.388032653733282,0.196394274452399,"High"
"26","Missouri",6045448,392942,407655,417439,379266,377856,418176,311641,170579,88449,377117,386260,412380,378737,387773,441542,338483,206571,152582,113602101400,729731,487945,719908,262549,164555,6050503,0.02,4380156,0.724,2831000,0.468,31.7,6.7,23.5,3935567,1768121,1016818,4404211,18791.3453891258,0.728516894033329,0.292471459517971,0.650996749951368,0.168195640753175,"Medium","Medium","Medium","High",0.395966188113768,0.394238772709649,0.209795039176584,"Medium"
"27","Montana",1014699,64662,64997,70215,62939,59358,75052,63092,33052,16796,61439,60569,65474,59963,57919,77504,62068,34689,24911,17304554900,129323,85123,126064,44557,24327,985235,0.003,725139,0.736,369820,0.375,32.3,9.4,28,673461,287404,178464,735520,17053.8799190696,0.724865206332124,0.283240645748148,0.663705197304816,0.175878758134186,"Medium","Medium","Medium","High",0.38174473415269,0.387045813586098,0.231209452261212,"Low"
"28","Nebraska",1869365,135141,130709,133764,121971,113665,125729,91932,47563,29132,127483,125557,126616,118373,111595,127163,95984,58711,48277,37863041500,198181,147194,242233,94737,54268,1815500,0.006,1455917,0.802,792800,0.437,25.9,6.6,25.3,1234854,548732,260168,1401117,20254.493638214,0.749514942239744,0.293539249959211,0.660574045197166,0.139174532528425,"Medium","Medium","Medium","Medium",0.416863480379701,0.384352975475629,0.198783544144669,"High"
"29","Nevada",2798636,189195,183018,198686,197578,196702,183077,145624,80677,33178,179271,175235,190333,189326,188898,184754,152788,84137,46159,51505111400,278042,210882,326352,124322,77111,2670861,0.009,2137074,0.8,957680,0.359,31.8,5,29,1991115,787749,433298,2137696,18403.6478484519,0.763834953884678,0.281476047617482,0.711459082210048,0.154824707464636,"High","High","Medium","Medium",0.39867206739283,0.407460991711677,0.193866940895493,"Medium"
"30","New Hampshire",1324201,71404,86885,84400,74459,94130,106375,78256,37774,19801,68443,84865,80102,75536,95317,110003,80157,44286,32008,33673409800,107715,85946,169607,88903,68080,1338495,0.004,1205558,0.901,595580,0.445,20.3,3.8,30.4,970705,403643,195602,1054070,25429.2284932574,0.796004534054875,0.304820038649722,0.733049589903648,0.147713224804996,"High","High","High","Medium",0.359536807478623,0.419739903534282,0.220723288987095,"Low"
"31","New Jersey",8904413,552587,597261,579043,564565,630975,633268,431837,223087,130404,534023,564552,551925,575068,656781,668262,489204,284406,237165,248896497900,678183,461915,904584,547517,597287,8799248,0.028,7728426,0.878,4154820,0.472,26.5,4.1,26,6261947,2668087,1217198,6671504,27952.0388261416,0.749235687967303,0.29963648361773,0.703240853720509,0.136696040491383,"Medium","High","High","Low",0.379518672370655,0.418772017874732,0.201709309754613,"Low"
"32","New Mexico",2084117,143433,145313,151407,131502,123402,136237,110376,60864,29880,137108,139527,140382,127193,126496,147635,120460,69636,43266,33063615800,265754,149709,214992,81487,51661,2030790,0.007,1380358,0.68,516280,0.254,39.6,7.8,20,1190758,437716,323130,1412809,15864.5679681131,0.677893323647377,0.210024677117456,0.57134892138973,0.155044078619387,"Low","Low","Low","Medium",0.411286890323336,0.380240168858082,0.208472940818582,"High"
"33","New York",19673174,1190524,1262484,1446644,1276413,1306702,1328959,950300,494935,284840,1136154,1211033,1440894,1313150,1369266,1425505,1087268,632597,515506,483161264900,1982834,1168636,2052198,1042528,1016083,19746813,0.064,16091772,0.815,8544640,0.433,30.9,4.2,29.6,12506786,4828370,2485803,13770222,24559.3956979184,0.699949179527411,0.245429131059381,0.635727920670045,0.126354954213286,"Medium","Medium","Low","Low",0.390772378671586,0.407661468352793,0.201566152975621,"Low"
